Date,SP500,HANGSENG,KOSPI
2012-03-22,1392.780029296875,20901.560546875,2026.1199951171875
2012-03-23,1397.1099853515625,20668.80078125,2026.8299560546875
2012-03-26,1416.510009765625,20668.859375,2019.18994140625
2012-03-27,1412.52001953125,21046.91015625,2039.760009765625
2012-03-28,1405.5400390625,20885.419921875,2031.739990234375
2012-03-29,1403.280029296875,20609.390625,2014.4100341796875
2012-03-30,1408.469970703125,20555.580078125,2014.0400390625
2012-04-02,1419.0400390625,20522.259765625,2029.2900390625
2012-04-03,1413.3800048828125,20790.98046875,2049.280029296875
2012-04-05,1398.0799560546875,20593.0,2028.77001953125
2012-04-10,1358.5899658203125,20356.240234375,1994.4100341796875
2012-04-12,1387.5699462890625,20327.3203125,1986.6300048828125
2012-04-13,1370.260009765625,20701.0390625,2008.9100341796875
2012-04-16,1369.5699462890625,20610.640625,1992.6300048828125
2012-04-17,1390.780029296875,20562.310546875,1985.300048828125
2012-04-18,1385.1400146484375,20780.73046875,2004.530029296875
2012-04-19,1376.9200439453125,20995.009765625,1999.8599853515625
2012-04-20,1378.530029296875,21010.640625,1974.6500244140625
2012-04-23,1366.93994140625,20624.390625,1972.6300048828125
2012-04-24,1371.969970703125,20677.16015625,1963.4200439453125
2012-04-25,1390.68994140625,20646.2890625,1961.97998046875
2012-04-26,1399.97998046875,20809.7109375,1964.0400390625
2012-04-27,1403.3599853515625,20741.44921875,1975.3499755859375
2012-04-30,1397.9100341796875,21094.2109375,1981.989990234375
2012-05-02,1402.31005859375,21309.080078125,1999.0699462890625
2012-05-03,1391.5699462890625,21249.529296875,1995.1099853515625
2012-05-04,1369.0999755859375,21086.0,1989.1500244140625
2012-05-07,1369.5799560546875,20536.650390625,1956.43994140625
2012-05-08,1363.719970703125,20484.75,1967.010009765625
2012-05-09,1354.5799560546875,20330.640625,1950.2900390625
2012-05-10,1357.989990234375,20227.279296875,1944.9300537109375
2012-05-11,1353.3900146484375,19964.630859375,1917.1300048828125
2012-05-14,1338.3499755859375,19735.0390625,1913.72998046875
2012-05-15,1330.6600341796875,19894.310546875,1898.9599609375
2012-05-16,1324.800048828125,19259.830078125,1840.530029296875
2012-05-17,1304.8599853515625,19200.9296875,1845.239990234375
